,index,job_title,company,city,description,technologies,position_level,contract,model_work,exp_date,url
77,77,"Senior Software Engineer - Full Stack, Ads Planning",Google,"Warszawa, Śródmieście","Your responsibilities, Participate or lead design reviews with peers and stakeholders to decide amongst available technologies., Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines,...","{Java,Python,Golang,C++,HTML,JavaScript,TypeScript,CSS}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/senior-software-engineer-full-stack-ads-planning-warszawa-emilii-plater-53,oferta,1004141182"
78,78,Programista Konstruktor,RADMOR S.A.,Gdynia,"Twój zakres obowiązków, Jako Programista - Konstruktor będziesz wsparciem zespołu programistów w rozwoju oprogramowania wbudowanego i aplikacji pod systemem Windows/Linux, a także będziesz wspomagał automatyzację testów oraz tworzenia...","{Python,Bash,PowerShell}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca stacjonarna""}",2025-06-22,"https://www.pracuj.pl/praca/programista-konstruktor-gdynia-hutnicza-3,oferta,1004119238"
79,79,Software Engineer II - Chrome Browser Enterprise,Google,"Warszawa, Śródmieście","Your responsibilities, Write product or system development code., Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies., Review code developed by other developers and provide feedback to...","{C++,C,Python,Java,JavaScript}","{""Młodszy specjalista (Junior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/software-engineer-ii-chrome-browser-enterprise-warszawa-emilii-plater-53,oferta,1004141133"
80,80,Programista Embedded - Inżynier Elektronik,ENIGMA Systemy Ochrony Informacji Sp. z o.o.,"Warszawa, Włochy","Twój zakres obowiązków, uruchamianie i weryfikacja funkcjonalna nowych prototypów płytek PCB zaprojektowanych przez firmę Enigma, pisanie firmware’u testowego na mikroprocesory/mikrokontrolery weryfikującego poprawność działania pakietów/modułów...","{""embedded C"",Python,""ARM + GCC"",FreeRTOS+POSIX,GIT+Gitlab,""Vendor SDK (Maxim; Texas Instruments; STM i inne)""}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca stacjonarna""}",2025-07-17,"https://www.pracuj.pl/praca/programista-embedded-inzynier-elektronik-warszawa-dzialkowa-115,oferta,1004172386"
81,81,Data Scientist,Wakacje.pl,"Warszawa, Włochy","Twój zakres obowiązków, Tworzenie efektywnych rozwiązań analitycznych służących realizacji celów firmy,, Opracowywanie i utrzymanie produktów analitycznych, w tym: modeli uczenia maszynowego, algorytmów statystyczno-/matematycznych oraz algorytmów...","{Python,SQL,""Flask API"",Docker,Airflow}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/data-scientist-warszawa-zwirki-i-wigury-16,oferta,1004172382"
82,82,Technical Solutions Engineer - AI/ML,Google,"Warszawa, Śródmieście","Your responsibilities, Work with customers on their production deployments to resolve issues and achieve product readiness, availability, and scale., Develop an understanding of Google Cloud's product technology and underlying architectures by...","{Java,Python,PHP,Go,Ruby,C#,C,JavaScript,Kubernetes,Oracle,SAP}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/technical-solutions-engineer-ai-ml-warszawa-emilii-plater-53,oferta,1004141114"
83,83,"Software Engineer - Early Careers, PhD, Cloud AI",Google,"Warszawa, Śródmieście","Your responsibilities, Work on implementation and designs of Search features (e.g., support for structured search, standalone grounding API, reranking of search results based on user's interactions with previous results, filtering out search...","{Python,C,C++,Java,JavaScript}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/software-engineer-early-careers-phd-cloud-ai-warszawa-emilii-plater-53,oferta,1004141095"
84,84,"Software Engineer - Early Career, 2025 Start",Google,"Warszawa, Śródmieście","Your responsibilities, Research, conceive, and develop software applications to extend and improve on Google's product offering., Contribute to a wide variety of projects utilizing natural language processing, artificial intelligence, data...","{C,C++,Java,JavaScript,Python}","{""Młodszy specjalista (Junior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/software-engineer-early-career-2025-start-warszawa-emilii-plater-53,oferta,1004141041"
85,85,"Software Engineer - Borglet, PhD, Early Career",Google,"Warszawa, Śródmieście","Your responsibilities, Code in C++ (learn if you don't have experience)., Understand guest (virtualized) and host (hypervisor) environments and come up with secure solutions that connect both., Work with peers to identify, design, create, and...","{C++,C,Python,Java,JavaScript}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/software-engineer-borglet-phd-early-career-warszawa-emilii-plater-53,oferta,1004141004"
86,86,Python Developer,ADVOX Sp. z o.o.,"Poznań, Nowe Miasto","Twój zakres obowiązków, Od 2012 roku rozwijamy w firmie sklep internetowy oparty o platformę Magento. System rozrósł się tak bardzo, że pełni aktualnie funkcję ERP/CRM/WMS oraz sklepu. Naszym celem jest rozgrupowanie systemu na mikroserwisy żeby...","{Python,Django,PostgreSQL,RabbitMQ,""Unit Testing"",API,Docker,Elasticsearch}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca zdalna""}",2025-07-02,"https://www.pracuj.pl/praca/python-developer-poznan-blacharska-11,oferta,1004136971"
87,87,Data Engineer,Ailleron,Kraków,"Twój zakres obowiązków, Rozwój i optymalizacja przepływów danych: Projektowanie, budowanie i utrzymywanie wydajnych, skalowalnych i niezawodnych potoków danych ETL/ELT w celu pozyskiwania, przetwarzania i przekształcania dużych ilości...","{Python,SQL,""Snowflake Data Cloud""}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-06-20,"https://www.pracuj.pl/praca/data-engineer-krakow,oferta,1004113440"
88,88,System (Linux) Administrator,SQUARE ONE RESOURCES sp. z o.o.,Lublin,"Twój zakres obowiązków, Zarządzanie systemami Linux: Administracja i konserwacja serwerów opartych na systemie Linux, z preferencją dla dystrybucji Debian., Automatyzacja procesów: Tworzenie skryptów i automatyzowanie zadań administracyjnych w...","{Python,Bash,Perl,Linux,Debian,Prometheus,Grafana,Kubernetes,Puppet,Ansible,MariaDB,Redis}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-13,"https://www.pracuj.pl/praca/system-linux-administrator-lublin,oferta,1004165685"
89,89,Specjalista ds. Monitoringu i Automatyzacji IT,Rossmann SDP,"Łódź, Bałuty","Twój zakres obowiązków, utrzymanie i konfiguracja systemów monitorujących systemy IT oraz platformy do automatyzacji procesów,, tworzenie i aktualizacja dokumentacji technicznej,, przekazywanie wiedzy z obszaru monitoringu i platform automatyzacji...","{Zabbix,DataDog,Grafana,Monit24,""Windows Server"",PowerShell,Python}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/specjalista-ds-monitoringu-i-automatyzacji-it-lodz-wersalska-75-77,oferta,1004172166"
90,90,System (Linux) Administrator,SQUARE ONE RESOURCES sp. z o.o.,Warszawa,"Twój zakres obowiązków, Zarządzanie systemami Linux: Administracja i konserwacja serwerów opartych na systemie Linux, z preferencją dla dystrybucji Debian., Automatyzacja procesów: Tworzenie skryptów i automatyzowanie zadań administracyjnych w...","{Python,Bash,Perl,Linux,Debian,Prometheus,Grafana,Kubernetes,Puppet,Ansible,MariaDB,Redis}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-13,"https://www.pracuj.pl/praca/system-linux-administrator-warszawa,oferta,1004165674"
91,91,Programista Power BI,Team Connect Sp. z o.o.,Gdańsk,"Twój zakres obowiązków, Obecnie poszukujemy Programistów Power BI do projektu realizowanego w instytucji publicznej odpowiedzialnej za rozwój i zarządzanie cyfrowymi usługami w systemie ochrony zdrowia w Polsce. Jednostka ta pełni kluczową rolę w...","{""Microsoft Power BI"",DAX,SQL,Python,ETL}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna""}",2025-06-22,"https://www.pracuj.pl/praca/programista-power-bi-gdansk,oferta,1004118951"
92,92,Inżynier ds. Data Center,Rossmann SDP,"Łódź, Bałuty","Twój zakres obowiązków, utrzymanie, konfiguracja i rozwój infrastruktury sieciowej Data Center opartej na technologii Cisco ACI,, diagnozowanie i rozwiązywanie problemów sieciowych w środowisku fizycznym i wirtualnym (troubleshooting L2/L3 oraz...","{""Cisco ACI"",Cisco,Nexus,Catalyst,ACI,VMware,vCenter,Ansible,Python,Terraform,""REST API"",""Cisco Nexus Dashboard"",AWS,GCP}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B"",""Umowa na zastępstwo""}","{""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/inzynier-ds-data-center-lodz-wersalska-75-77,oferta,1004172140"
93,93,System (Linux) Administrator,SQUARE ONE RESOURCES sp. z o.o.,Poznań,"Twój zakres obowiązków, Zarządzanie systemami Linux: Administracja i konserwacja serwerów opartych na systemie Linux, z preferencją dla dystrybucji Debian., Automatyzacja procesów: Tworzenie skryptów i automatyzowanie zadań administracyjnych w...","{Python,Bash,Perl,Linux,Debian,Prometheus,Grafana,Kubernetes,Puppet,Ansible,MariaDB,Redis}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-13,"https://www.pracuj.pl/praca/system-linux-administrator-poznan,oferta,1004165665"
94,94,Release Engineer,Visiona Sp. z o.o.,"Kraków, Czyżyny","Twój zakres obowiązków, udział w planowaniu budowania i wdrażanie zmian w systemach własnych i klientów, koordynacja wdrożeń, harmonogramowanie, deployment, współpraca z zespołami DEV, QA, ADMIN w celu poprawnej realizacji wdrożenia, zarządzenie...","{Linux,unix,Python,""RDBMS Oracle"",SQL,Ansible}","{""Specjalista (Mid / Regular)"",""Młodszy specjalista (Junior)""}","{""Umowa o pracę"",""Umowa zlecenie"",""Kontrakt B2B""}","{""Praca stacjonarna"",""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/release-engineer-krakow-profesora-michala-zyczkowskiego-14,oferta,1004172127"
95,95,Architekt IT (Hurtownia Danych),BCF Software Sp. z o.o.,Warszawa,"Twój zakres obowiązków, Projektowanie i dokumentowanie architektury rozwiązań IT dla złożonych systemów, Udział w analizach wydajności i niezawodności oraz ocenie bezpieczeństwa rozwiązań, Szacowanie złożoności i pracochłonności zadań...","{PostgreSQL,""Oracle DB"",SQL,Python,Jira,""Enterprise Architect"",""MS Project""}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-07-06,"https://www.pracuj.pl/praca/architekt-it-hurtownia-danych-warszawa,oferta,1004150200"
96,96,DevOps Engineer for SmartThings Pro,Samsung R&D Institute Poland,"Warszawa, Wola","Your responsibilities, Participate in designing and building of Cloud based IoT solution, Configuration, development and integration of CI/CD processes, Building Cloud Infrastructure, Monitoring and support production environments, Supporting...","{Azure,Linux,Terraform,Kubernetes,PostgreSQL,Python,Node.js,Java,Go}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/devops-engineer-for-smartthings-pro-warszawa-plac-europejski-1,oferta,1004107479"
97,97,Devops / Software engineer,OVH Sp. z o.o.,Wrocław,"Your responsibilities, Develop functionalities that make a difference: you will create new functionalities to improve existing tools and make them more efficient., Solve complex problems: you will propose solutions to solve complex problems and...","{zimbra,Python,Perl,Git,Puppet,Ansible}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-06-22,"https://www.pracuj.pl/praca/devops-software-engineer-wroclaw,oferta,1004118814"
98,98,Trener programowania - kółko informatyczne,Atinea Sp. z o.o.,Gdańsk,"Twój zakres obowiązków, Prowadzenie zajęć z programowania według określonego przez nas scenariusza, podręcznika, kart pracy, przykładów i zadań dostępnych na stworzonej przez nas platformie, opracowywanie nowych zadań;, Dodatkowo uczestnicy OI...","{C,C++,Python}","{Asystent,""Młodszy specjalista (Junior)""}","{""Umowa zlecenie""}","{""Praca stacjonarna"",""Praca zdalna""}",2025-06-20,"https://www.pracuj.pl/praca/trener-programowania-kolko-informatyczne-gdansk,oferta,1004113229"
99,99,Fullstack Developer (maternity cover),HSBC Service Delivery (Polska) Sp. z o.o.,"Kraków, Dębniki","Your responsibilities, Implement scalable backend services and APIs using Python., Develop and maintain UI components using Dash, Next.js and Django., Contribute to the implementation, testing of a reusable quantitative library., Closely...","{Python,Next.js,Django}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/fullstack-developer-maternity-cover-krakow-kapelanka-42a,oferta,1004171969"
100,100,Machine Learning Engineer (12 months fixed term contract),IG Group,"Kraków, Dębniki","Your responsibilities, Designing, implementation and support of ML/AI/Data solutions as well as internal tools and systems., , Support and Maintenance of the existing solutions., , Supporting the researchers in their daily work and projects....","{Python,SQL,Docker,Kubeflow,Airflow,Prefect,LangChain,PyTorch,Tenforflow}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/machine-learning-engineer-12-months-fixed-term-contract-krakow-kapelanka-42,oferta,1004172890"
101,101,Python Junior Developer,Wrocławski Instytut Zastosowań Informacji Przestrzennej i Sztucznej Inteligencji,"Wrocław, Śródmieście","Twój zakres obowiązków, Szukamy osoby, która posiada dobrą znajomość języka Python (składnia i narzędzia) oraz podstawowe doświadczenie i chce rozwijać swoje umiejętności programistyczne – nie wymagamy kilkuletniego doświadczenia. Jeśli jesteś...",{Python},"{""Młodszy specjalista (Junior)""}","{""Umowa o pracę""}","{""Praca stacjonarna""}",2025-07-17,"https://www.pracuj.pl/praca/python-junior-developer-wroclaw-norwida-9,oferta,1004172803"
102,102,AI Developer,Strive Sp. z o.o.,"Gdańsk, Oliwa","Twój zakres obowiązków, Opracowywanie i wdrażanie modeli AI oraz ich integracje, Prowadzenie dokumentacji technicznej, Dbanie o jakość kodu oraz korzystanie z dobrych praktyk programistycznych, Aktywny udział w spotkaniach oraz proponowanie...","{Python,TensorFlow,PyTorch,Langchain,""Generative AI""}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca zdalna""}",2025-07-05,"https://www.pracuj.pl/praca/ai-developer-gdansk-aleja-grunwaldzka-472d,oferta,1004148128"
103,103,CI/CD Engineer,B2B.NET S.A.,Gdańsk,"Your responsibilities, Design and build robust CI/CD pipelines from the ground up., Develop Python scripts for automation., Maintain and evolve Snowflake data pipelines., Support data integration using Kafka., Work in a Kubernetes-based...","{Bitbucket,Jenkins,Bamboo,Maven,Ansible,SonarQube,Splunk,Grafana,Python,""Snowflake Data Cloud"",Kafka,Kubernetes}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-06,"https://www.pracuj.pl/praca/ci-cd-engineer-gdansk,oferta,1004150984"
104,104,Assistant Vice President - Data Analytics,HSBC Service Delivery (Polska) Sp. z o.o.,"Kraków, Dębniki","Your responsibilities, The role in the Data Management and Analytics team supports GRADE (Global Risk Analytics Data Environment) platform analytical projects. Our data is pivotal for WCR (Wholesale Credit Risk) model development, validation, and...","{Jira,Confluence,SAS,Python,PySpark,SQL}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-06-27,"https://www.pracuj.pl/praca/assistant-vice-president-data-analytics-krakow-kapelanka-42a,oferta,1004130373"
105,105,Software Engineer with Python (Cloud-based SaaS),Adtran,"Gdynia, Mały Kack","Your responsibilities, Perform or assist in high-level and low-level software design and implementation of new features and enhancements to existing software., Perform or assist in feasibility studies of needed software development., Document the...","{Python,Typescript,pyTest,Selenium,Cypress}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-06-25,"https://www.pracuj.pl/praca/software-engineer-with-python-cloud-based-saas-gdynia-luzycka-8c,oferta,1004123817"
106,106,"Software Engineer (Python, SaaS)",Adtran,"Gdynia, Mały Kack","Your responsibilities, Design and development of the Mosaic One SaaS product., Perform or assist in high-level and low-level software design and implementation of new modules and enhancements to existing software., Perform or assist in feasibility...","{Python,SaaS}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca stacjonarna"",""Praca hybrydowa""}",2025-07-11,"https://www.pracuj.pl/praca/software-engineer-python-saas-gdynia-luzycka-8c,oferta,1004160803"
107,107,Mid Data Scientist / Data Engineer,Transition Technologies–Systems Sp. z o. o.,"Warszawa, Wola","Twój zakres obowiązków, wdrażanie i rozwijanie rozwiązań AI w oparciu o istniejące lub nowe produkty Grupy, wybór narzędzi i technologii AI w zależności od specyfiki danego działu, obszaru, projektu, codzienna współpraca z zespołami programistów i...","{Python,Azure}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Umowa zlecenie"",""Kontrakt B2B""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-07-02,"https://www.pracuj.pl/praca/mid-data-scientist-data-engineer-warszawa-zubra-1,oferta,1004137886"
108,108,Analityk Biznesowy / obszar BI,Medicover,Warszawa,"Twój zakres obowiązków, Koordynacja cyklicznego raportowania wskaźników KPI, Utrzymanie i rozwój raportów, dashboardów, narzędzi analitycznych i modeli danych, Przygotowywanie prezentacji, analiz ad hoc, materiałów na spotkania biznesowe,...","{""Microsoft Power BI"",SQL,Python}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-10,"https://www.pracuj.pl/praca/analityk-biznesowy-obszar-bi-warszawa-aleje-jerozolimskie-96,oferta,1004157753"
109,109,Snowflake Engineer,Sii Sp. z o.o.,"Białystok, Centrum","Twój zakres obowiązków, Projektowanie i implementacja modeli danych w środowisku Snowflake, Budowa i optymalizacja procesów ETL/ELT z wykorzystaniem Snowflake SQL oraz narzędzi takich jak dbt, Airflow, Talend, Analiza i optymalizacja zapytań w...","{Snowflake,Python,ETL,SQL}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Kontrakt B2B""}","{""Praca stacjonarna"",""Praca zdalna"",""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/snowflake-engineer-bialystok-jozefa-marjanskiego-3,oferta,1004172685"
110,110,Regular IT Support Engineer - IT Services (Atlassian Focus),SQUARE ONE RESOURCES sp. z o.o.,Lublin,"Your responsibilities, Manage, configure, and optimize Atlassian tools (Jira, Confluence), both on-premise and in the cloud., Maintain system integrity and availability for end users., Provide technical support and troubleshoot issues related to...","{Jira,Confluence,AWS,Groovy,JavaScript,Python,Bash}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-05,"https://www.pracuj.pl/praca/regular-it-support-engineer-it-services-atlassian-focus-lublin,oferta,1004147961"
111,111,Python Developer,Integral Solutions,"Warszawa, Śródmieście","Your responsibilities, Working on a project for a client in the banking sector...","{Python,Jira,SQL,Linux,Jenkins,Nexus}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna""}",2025-06-20,"https://www.pracuj.pl/praca/python-developer-warszawa-ksiedza-skorupki-5,oferta,1004113851"
112,112,Administrator Systemów Linux,Atman sp. z o.o.,"Warszawa, Praga-Południe","Twój zakres obowiązków, Administrowanie systemami z rodziny Linux będące elementem utrzymania jednej z największych w kraju infrastruktur serwerów dedykowanych,, Rozwój i utrzymanie usługi DNS oraz systemów wsparcia np. Zabbix, LibreNMS, Grafana...","{Debian,Ubuntu,Bash,Python,VMware,Zabbix,Perl}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-06-22,"https://www.pracuj.pl/praca/administrator-systemow-linux-warszawa-grochowska-21a,oferta,1004119587"
113,113,Programista Big Data,B2B.NET S.A.,Warszawa,"Twój zakres obowiązków, Projektowanie i rozwój systemów teleinformatycznych, Integracja aplikacji z systemami zewnętrznymi, Instalacja, konfiguracja i testowanie aplikacji, Tworzenie i aktualizacja dokumentacji technicznej, Identyfikowanie i...","{Python,""Apache Spark"",""Apache Airflow"",SQL,Hadoop}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna""}",2025-07-02,"https://www.pracuj.pl/praca/programista-big-data-warszawa,oferta,1004137551"
114,114,QA Engineer (Python + Robot Framework),B2B.NET S.A.,Gdańsk,"Twój zakres obowiązków, Testowanie RESTful API (manualnie i automatycznie), Tworzenie i wykonywanie przypadków testowych, Automatyzacja testów w Robot Framework, Programowanie w Pythonie na potrzeby testów, Analiza wymagań z perspektywy QA,...","{""Robot Framework"",Python}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-10,"https://www.pracuj.pl/praca/qa-engineer-python-%2b-robot-framework-gdansk,oferta,1004157623"
115,115,Mid Security Engineer (DevSecOps),Ringier Axel Springer Polska Sp. z o.o.,"Kraków, Stare Miasto","Twój zakres obowiązków, Implementacja narzędzi do automatycznego skanowania podatności w pipeline'ach CI/CD, Wsparcie zespołów deweloperskich w zakresie bezpiecznego wytwarzania kodu, Przeprowadzanie testów bezpieczeństwa aplikacji (SAST, DAST,...","{Python,Git,PowerShell}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-02,"https://www.pracuj.pl/praca/mid-security-engineer-devsecops-krakow-aleja-29-listopada-20,oferta,1004137513"
116,116,Big Data Engineer,Team Connect Sp. z o.o.,Warszawa,"Twój zakres obowiązków, Dla jednego z naszych Klientów, z branży zdrowotnej poszukujemy osoby na stanowisko Big Data Engineer....","{Python,""Apache Spark"",""Apache Airflow"",SQL,Hadoop,Git}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna""}",2025-07-02,"https://www.pracuj.pl/praca/big-data-engineer-warszawa,oferta,1004137489"
117,117,Programista AI,KGHM Polska Miedź S.A.,Lubin,"Twój zakres obowiązków, implementacja oraz wdrażanie rozwiązań AI, utrzymanie wdrożonych rozwiązań oraz współpraca z odbiorcami biznesowymi na etapie eksploatacji, współpraca z innymi programistami oraz Architektem Rozwiązań AI, śledzenie...","{Python,R,SQL,TensorFlow,Keras,PyTorch}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca stacjonarna"",""Praca hybrydowa""}",2025-06-23,"https://www.pracuj.pl/praca/programista-ai-lubin-marii-sklodowskiej-curie-45b,oferta,1004157592"
118,118,Software Engineer II - Data Lineage,Google,"Warszawa, Śródmieście","Your responsibilities, Contribute to design, implement, and launch new features., Participate in monitoring and debugging efforts, and support frequent releases., Manage individual priorities, timelines and deliverables., Communicate well with...","{Python,C,C++,Java,JavaScript}","{""Młodszy specjalista (Junior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/software-engineer-ii-data-lineage-warszawa-emilii-plater-53,oferta,1004141308"
119,119,Data & BI Support Specialist,summ-it s.a.,"Kraków, Prądnik Czerwony","Twój zakres obowiązków, Monitorowanie i utrzymanie istniejących rozwiązań platformy danych, Rozwiązywanie problemów związanych z procesami ETL/ELT, Wsparcie we wdrożeniu nowych procesów ETL/ELT, Utrzymanie i optymalizacja baz danych i data...","{Databricks,AAS,""Synapse Analytics"",""Azure Data Factory"",Python,Scala,""Azure Synapse"",""Microsoft Power BI"",""Microsoft SQL Server""}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-07-10,"https://www.pracuj.pl/praca/data-bi-support-specialist-krakow-opolska-110,oferta,1004157555"
120,120,Administrator IT / Inżynier Systemowy,PERSONNEL RECRUITMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Nowy Sącz,"Twój zakres obowiązków, Administracja i utrzymanie infrastruktury serwerowej (Proxmox, VMware, Windows/Linux Server)., Zarządzanie siecią produkcyjną i biurową (LAN/WAN/VPN/Wi-Fi) oraz urządzeniami sieciowymi (firewalle, routery, switche).,...","{Proxmox,VMware,""Windows Server"",Debian,CentOS,Ubuntu,Hyper-V,Docker,Kubernetes,Veeam,Bacula,rsync,Ansible,Terraform,PowerShell,Python,Grafana,Prometheus,Zabbix,PRTG,MSSQL}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca stacjonarna""}",2025-07-10,"https://www.pracuj.pl/praca/administrator-it-inzynier-systemowy-nowy-sacz,oferta,1004157543"
121,121,Technical Solutions Consultant - Android Auto Partner Engineering,Google,Kraków,"Your responsibilities, Manage workstreams with car manufacturers and the suppliers globally as part of multi-year partner programs., Manage relationships with external stakeholders (car manufacturers) and internal stakeholders., Support pre-sales...","{Python,Java,Kotlin,Rust,C,C++}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/technical-solutions-consultant-android-auto-partner-engineering-krakow,oferta,1004141240"
122,122,Architekt Rozwiązań w Zespole Rozwoju Procesów i Analiz Statystycznych - Wydział AML,Bank Millennium S.A.,"Warszawa, Mokotów","Twój zakres obowiązków, Rozwój zaawansowanych systemów analitycznych wspierających procesy Przeciwdziałania Praniu Pieniędzy oraz Finansowaniu Terroryzmu, Utrzymanie systemów analitycznych, monitorowanie wydajności, identyfikowanie i rozwiązywanie...","{SQL,Python,R}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-02,"https://www.pracuj.pl/praca/architekt-rozwiazan-w-zespole-rozwoju-procesow-i-analiz-statystycznych-wydzial-a-warszawa-stanislawa-zaryna-2a,oferta,1004137401"
123,123,Inżynier w kulturze DevOps,Comarch SA,"Kraków, Czyżyny","Twój zakres obowiązków, Aktywny udział w rozwiązywaniu problemów systemowych, Odpowiedzialność za budowanie oraz utrzymywanie środowisk wewnętrznych dla zespołów developerskich, testowych i produkcyjnych, Konfiguracja, administracja i...","{Docker,Kubernetes,AWS,""Microsoft Azure"",Ansible,Terraform,Bash,Python,Perl,Jenkins,""GitLab CI"",ArgoCD,Prometheus,Grafana,ELK,Zabbix}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-02,"https://www.pracuj.pl/praca/inzynier-w-kulturze-devops-krakow-aleja-jana-pawla-ii-39a,oferta,1004137382"
